2014_10_01-10_09_39_Breathing
Time,Breath;ingWaveform
01/10/2014;10:09:39.417,7083082
01/10/2014;10:09:39.457,7149789
01/10/2014;10:09:39.497,7154538
01/10/2014;10:09:39.537,7154538
01/10/2014;10:09:39.577,7154538
01/10/2014;10:09:39.617,7157420
01/10/2014;10:09:39.657,7149629
01/10/2014;10:09:39.697,7152457
01/10/2014;10:09:39.737,7159822
01/10/2014;10:09:39.777,7160835
01/10/2014;10:09:39.817,7154645
01/10/2014;10:09:39.857,7149682
01/10/2014;10:09:39.897,7144452
01/10/2014;10:09:39.937,7131111
01/10/2014;10:09:39.977,7120865
01/10/2014;10:09:40.017,7117503
01/10/2014;10:09:40.057,7115742
01/10/2014;10:09:40.097,7116489
01/10/2014;10:09:40.137,7117129
01/10/2014;10:09:40.177,7115635
01/10/2014;10:09:40.217,7111099
01/10/2014;10:09:40.257,7110352
01/10/2014;10:09:40.297,7115795
