2014_10_01-10_09_39_Summary
Time;HR;BR;SkinTemp;Posture;Activity;PeakAccel;BatteryVolts;BatteryLevel;BRAmplitude;BRNoise;BRConfidence;ECGAmplitude;ECGNoise;HRConfidence;HRV;SystemConfidence;GSR;ROGState;ROGTime;VerticalMin;VerticalPeak;LateralMin;LateralPeak;SagittalMin;SagittalPeak;DeviceTemp;StatusInfo;LinkQuality;RSSI;TxPower;CoreTemp;AuxADC1;AuxADC2;AuxADC3
01/10/2014 10:09:39.417;65;8.1;-3276.8;19;0.41;0.84;4.161;93;5973.000;65535.000;255;0.000000;0.000000;0;65535;0;65535;1;2;-1.71;-0.28;-0.22;0.75;-0.78;0.39;24.9;528;255;-128;-128;6553.5;420;433;499
01/10/2014 10:09:40.417;65;8.1;-3276.8;9;0.51;1.03;4.161;93;5361.000;65535.000;255;0.000000;0.000000;0;65535;0;65535;1;3;-1.37;-0.45;-1.07;0.22;-0.46;0.36;24.9;528;255;-128;-128;6553.5;419;428;485
01/10/2014 10:09:41.417;65;7.3;-3276.8;11;0.30;0.74;4.161;93;4733.000;65535.000;255;0.000000;0.000000;0;65535;0;65535;1;4;-1.57;-0.60;-0.95;1.07;-0.38;0.12;24.9;528;255;-128;-128;6553.5;415;420;484
01/10/2014 10:09:42.417;65;7.3;-3276.8;18;0.43;0.98;4.161;93;4094.000;65535.000;255;0.000000;0.000000;0;65535;0;65535;1;5;-1.91;-0.44;-1.13;0.08;-0.34;0.49;24.9;528;255;-128;-128;6553.5;415;422;484
01/10/2014 10:09:43.417;65;6.6;-3276.8;19;0.49;1.10;4.161;93;3566.000;65535.000;255;0.000000;0.000000;0;65535;0;65535;1;6;-1.59;0.14;-1.53;0.83;-0.67;0.44;24.9;528;255;-128;-128;6553.5;399;406;480
01/10/2014 10:09:44.417;65;6.6;-3276.8;18;0.14;0.33;4.161;93;3073.000;65535.000;255;0.000000;0.000000;0;65535;0;65535;1;7;-1.27;-0.81;-0.45;-0.15;-0.43;0.25;24.9;531;255;-128;-128;6553.5;414;421;484
01/10/2014 10:09:45.417;65;7.0;-3276.8;-15;0.13;0.25;4.161;93;2672.000;65535.000;255;0.000520;0.000040;0;65535;0;65535;0;0;-1.12;-0.95;-0.32;-0.14;-0.10;0.27;24.9;531;255;-128;-128;6553.5;415;422;484
01/10/2014 10:09:46.417;0;7.0;-3276.8;-14;0.07;0.19;4.161;93;2311.000;65535.000;255;0.000800;0.000060;0;65535;0;65535;0;0;-1.09;-0.96;-0.28;-0.14;-0.16;0.21;24.9;531;255;-128;-128;6553.5;416;423;484
01/10/2014 10:09:47.417;0;7.3;-3276.8;-12;0.07;0.14;4.161;93;2019.000;65535.000;255;0.000800;0.000840;0;65535;0;65535;0;0;-1.06;-0.96;-0.24;-0.12;-0.01;0.19;24.9;528;255;-128;-128;6553.5;414;422;483
01/10/2014 10:09:48.417;0;7.3;-3276.8;-10;0.06;0.13;4.161;93;1742.000;65535.000;255;0.000800;0.000360;0;65535;0;65535;0;0;-1.07;-0.96;-0.15;-0.09;-0.10;0.15;24.9;531;255;-128;-128;6553.5;415;422;484
01/10/2014 10:09:49.417;0;7.6;-3276.8;-8;0.05;0.08;4.161;93;1517.000;65535.000;255;0.000800;0.000160;0;65535;0;65535;0;0;-1.08;-0.96;-0.14;-0.07;-0.04;0.15;24.9;531;255;-128;-128;6553.5;415;422;484
01/10/2014 10:09:50.417;0;7.6;-3276.8;-8;0.03;0.10;4.160;93;1303.000;65535.000;255;0.000800;0.000060;0;65535;0;65535;0;0;-1.09;-0.96;-0.16;-0.07;-0.06;0.12;24.9;531;255;-128;-128;6553.5;416;423;485
01/10/2014 10:09:51.417;0;7.9;-3276.8;-7;0.04;0.10;4.159;93;1132.000;65535.000;255;0.000800;0.000020;0;65535;0;65535;0;0;-1.04;-0.97;-0.15;-0.06;-0.07;0.14;24.9;531;255;-128;-128;6553.5;415;422;484
01/10/2014 10:09:52.417;0;7.9;-3276.8;-7;0.05;0.12;4.159;93;973.000;65535.000;255;0.000800;0.000000;0;65535;0;65535;0;0;-1.09;-0.96;-0.16;-0.04;-0.08;0.18;24.9;531;255;-128;-128;6553.5;413;420;482
01/10/2014 10:09:53.417;0;8.1;-3276.8;-7;0.03;0.07;4.159;93;845.000;65535.000;255;0.000800;0.000000;0;65535;0;65535;0;0;-1.09;-0.96;-0.19;-0.10;0.01;0.13;24.9;531;255;-128;-128;6553.5;415;422;484
01/10/2014 10:09:54.417;0;8.1;-3276.8;-8;0.02;0.14;4.159;93;726.000;65535.000;255;0.000800;0.000000;0;65535;0;65535;0;0;-1.12;-0.95;-0.18;-0.10;-0.09;0.16;24.9;531;255;-128;-128;6553.5;419;427;491
01/10/2014 10:09:55.417;0;7.6;-3276.8;-6;0.11;0.26;4.159;93;634.000;65535.000;255;0.000800;0.000000;0;65535;0;65535;0;0;-1.24;-0.84;-0.37;0.16;-0.18;0.22;24.9;531;255;-128;-128;6553.5;417;424;485
01/10/2014 10:09:56.417;0;7.6;-3276.8;-9;0.18;0.46;4.159;93;550.000;65535.000;255;0.000800;0.000000;0;65535;0;65535;0;0;-1.39;-0.42;-0.61;0.02;-0.21;0.16;24.9;531;255;-128;-128;6553.5;416;423;484
01/10/2014 10:09:57.417;0;7.7;-3276.8;-9;0.12;0.30;4.159;93;482.000;65535.000;255;0.000800;0.000820;0;65535;0;65535;0;0;-1.24;-0.74;-0.31;0.09;-0.03;0.22;24.9;531;255;-128;-128;6553.5;414;422;483
01/10/2014 10:09:58.417;0;7.7;-3276.8;-7;0.14;0.25;4.159;93;425.000;65535.000;255;0.000800;0.000520;0;65535;0;65535;3;0;-1.22;-0.84;-0.32;0.12;-0.18;0.14;24.9;528;255;-128;-128;6553.5;414;421;484
01/10/2014 10:09:59.417;57;7.8;-3276.8;-10;0.15;0.48;4.159;93;392.000;65535.000;255;0.000800;0.000240;0;65535;0;65535;3;1;-1.18;-0.79;-0.40;-0.09;-0.48;0.28;24.9;531;255;-128;-128;6553.5;415;423;484
01/10/2014 10:10:00.417;53;7.8;-3276.8;-11;0.14;0.59;4.159;93;360.000;65535.000;255;0.019420;0.000100;0;65535;0;65535;0;0;-1.24;-0.79;-0.36;0.26;-0.09;0.72;24.9;531;255;-128;-128;6553.5;415;422;484
01/10/2014 10:10:01.417;51;7.9;-3276.8;-11;0.08;0.24;4.159;93;314.000;65535.000;255;0.019420;0.000380;0;65535;0;65535;0;0;-1.26;-0.91;-0.31;-0.10;0.07;0.26;24.9;531;255;-128;-128;6553.5;408;415;487
01/10/2014 10:10:02.417;51;7.9;-3276.8;-8;0.18;0.48;4.159;93;295.000;65535.000;255;0.019420;0.003820;0;65535;0;65535;0;1;-1.49;-0.38;-0.21;0.10;-0.30;0.21;24.9;528;255;-128;-128;6553.5;416;422;484
01/10/2014 10:10:03.417;50;8.0;-3276.8;-7;0.24;0.63;4.158;93;264.000;65535.000;255;0.019420;0.002900;0;65535;0;65535;0;2;-1.33;-0.38;-0.28;0.04;-0.15;0.30;24.9;528;255;-128;-128;6553.5;415;423;484
01/10/2014 10:10:04.417;50;8.0;-3276.8;-9;0.09;0.21;4.157;92;239.000;65535.000;255;0.014080;0.003080;0;65535;0;65535;0;3;-1.10;-0.86;-0.32;-0.04;-0.07;0.33;24.9;528;255;-128;-128;6553.5;416;423;483
01/10/2014 10:10:05.417;42;8.1;-3276.8;-12;0.14;0.22;4.157;92;237.000;65535.000;255;0.014080;0.001560;0;65535;0;65535;1;0;-1.18;-0.86;-0.34;-0.16;-0.04;0.22;24.9;528;255;-128;-128;6553.5;416;422;483
