2014_10_01-10_09_39_Accel
Time,Vertic;al,Lateral,Sagittal
01/10/2014;10:09:39.417,2001,2076,2010
01/10/2014;10:09:39.427,1986,2070,1984
01/10/2014;10:09:39.437,1985,2072,1983
01/10/2014;10:09:39.447,1993,2069,1992
01/10/2014;10:09:39.457,1997,2063,2000
01/10/2014;10:09:39.467,1996,2062,2002
01/10/2014;10:09:39.477,1998,2061,2003
01/10/2014;10:09:39.487,1999,2062,2004
01/10/2014;10:09:39.497,2000,2061,1998
01/10/2014;10:09:39.507,2001,2063,2001
01/10/2014;10:09:39.517,1999,2068,2003
01/10/2014;10:09:39.527,1995,2064,2008
01/10/2014;10:09:39.537,1991,2059,2012
01/10/2014;10:09:39.547,1994,2067,2012
01/10/2014;10:09:39.557,1994,2067,2012
01/10/2014;10:09:39.567,1994,2067,2012
01/10/2014;10:09:39.577,1995,2070,2014
01/10/2014;10:09:39.587,1995,2070,2014
01/10/2014;10:09:39.597,1990,2078,2014
01/10/2014;10:09:39.607,1982,2089,2020
01/10/2014;10:09:39.617,1985,2070,2026
01/10/2014;10:09:39.627,1980,2061,2032
01/10/2014;10:09:39.637,1986,2055,2035
